Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"QCL","Cultures et produits animaux","5000","Monde","5312","Superficie récoltée","27","Riz, paddy","1994","1994","ha","147252086","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5312","Superficie récoltée","27","Riz, paddy","1995","1995","ha","149579344","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5312","Superficie récoltée","27","Riz, paddy","1996","1996","ha","150280664","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5312","Superficie récoltée","27","Riz, paddy","1997","1997","ha","151216613","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5312","Superficie récoltée","27","Riz, paddy","1998","1998","ha","151681527","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5312","Superficie récoltée","27","Riz, paddy","1999","1999","ha","156833929","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5312","Superficie récoltée","27","Riz, paddy","2000","2000","ha","154001935","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5312","Superficie récoltée","27","Riz, paddy","2001","2001","ha","151951944","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5312","Superficie récoltée","27","Riz, paddy","2002","2002","ha","147855940","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5312","Superficie récoltée","27","Riz, paddy","2003","2003","ha","148533711","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5312","Superficie récoltée","27","Riz, paddy","2004","2004","ha","150703308","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5312","Superficie récoltée","27","Riz, paddy","2005","2005","ha","155266703","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5312","Superficie récoltée","27","Riz, paddy","2006","2006","ha","155560591","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5312","Superficie récoltée","27","Riz, paddy","2007","2007","ha","154906579","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5312","Superficie récoltée","27","Riz, paddy","2008","2008","ha","159460608","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5312","Superficie récoltée","27","Riz, paddy","2009","2009","ha","156685450","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5312","Superficie récoltée","27","Riz, paddy","2010","2010","ha","160256712","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5312","Superficie récoltée","27","Riz, paddy","2011","2011","ha","161237189","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5312","Superficie récoltée","27","Riz, paddy","2012","2012","ha","160826855","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5312","Superficie récoltée","27","Riz, paddy","2013","2013","ha","163035821","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5312","Superficie récoltée","27","Riz, paddy","2014","2014","ha","161983122","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5312","Superficie récoltée","27","Riz, paddy","2015","2015","ha","160207328","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5312","Superficie récoltée","27","Riz, paddy","2016","2016","ha","162515805","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5312","Superficie récoltée","27","Riz, paddy","2017","2017","ha","164947839","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5312","Superficie récoltée","27","Riz, paddy","2018","2018","ha","165522484","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5312","Superficie récoltée","27","Riz, paddy","2019","2019","ha","162055938","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","1994","1994","tonnes","538591043","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","1995","1995","tonnes","547162009","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","1996","1996","tonnes","568658020","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","1997","1997","tonnes","577136882","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","1998","1998","tonnes","578813971","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","1999","1999","tonnes","611177562","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2000","2000","tonnes","598668144","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2001","2001","tonnes","600246670","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2002","2002","tonnes","571051377","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2003","2003","tonnes","586931574","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2004","2004","tonnes","607349029","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2005","2005","tonnes","634225538","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2006","2006","tonnes","640705586","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2007","2007","tonnes","653970131","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2008","2008","tonnes","684382979","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2009","2009","tonnes","680265683","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2010","2010","tonnes","694035156","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2011","2011","tonnes","719079192","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2012","2012","tonnes","727680662","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2013","2013","tonnes","731770431","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2014","2014","tonnes","730801993","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2015","2015","tonnes","731952333","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2016","2016","tonnes","739525456","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2017","2017","tonnes","751731340","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2018","2018","tonnes","762838840","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2019","2019","tonnes","755473800","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
